How do you make each word in a text start with a capital letter?,text-style:capitalize,text-transform:capitalize,You can't do that with CSS,transform:capitalize,B,CSS
Which property is used to change the font of an element?,font-family,font-weight,font-style,,A,CSS
How do you make the text bold?,style:bold;,font-weight:bold;,font:bold;,,B,CSS
"How do you display a border like this: 
The top border = 10 pixels
The bottom border = 5 pixels
The left border = 20 pixels
The right border = 1pixel?",border-width:10px 20px 5px 1px;,border-width:10px 5px 20px 1px;,border-width:10px 1px 5px 20px; ,border-width:5px 20px 10px 1px;,C,CSS
Which property is used to change the left margin of an element?,padding-left,indent,margin-left,,C,CSS
When using the padding property; are you allowed to use negative values?,Yes,No,,,B,CSS
How do you make a list that lists its items with squares?,list: square;,list-style-type: square;,list-type: square;,,B,CSS
How do you select an element with id 'demo'?,.demo,demo,*demo,#demo,D,CSS
How do you select elements with class name 'test'?,*test,#test,test,.test ,D,CSS
How do you select all p elements inside a div element?,div + p,div.p,div p,,C,CSS
How do you group selectors?,Separate each selector with a space,Separate each selector with a plus sign,Separate each selector with a comma,,C,CSS
What is the default value of the position property?,absolute,relative,static,fixed,C,CSS
What does HTML stand for?,Hyperlinks and Text Markup Language,Hyper Text Markup Language,Home Tool Markup Language,,B,HTML
Who is making the Web standards?,The World Wide Web Consortium,Mozilla,Microsoft,Google,A,HTML
Choose the correct HTML element for the largest heading:,<heading>,<head>,<h6>,<h1>,D,HTML
What is the correct HTML element for inserting a line break?,<lb>,<br>,<break>,,B,HTML
What is the correct HTML for adding a background color?,"<body style=""background-color:yellow;"">",<background>yellow</background>,"<body bg=""yellow"">",,A,HTML
Choose the correct HTML element to define important text,<important>,<b>,<strong>,<i>,C,HTML
"Choose the correct HTML element to define emphasized text
",<i>,<em>,<italic>,,B,HTML
Which character is used to indicate an end tag?,/ ,*,<,^,A,HTML
How can you open a link in a new tab/browser window?,"<a href=""url"" target=""new"">","<a href=""url"" new>","<a href=""url"" target=""_blank"">",,C,HTML
Which of these elements are all <table> elements?,<table><head><tfoot>,<table><tr><td>,<thead><body><tr>,<table><tr><tt>,B,HTML
Inline elements are normally displayed without starting a new line.,FALSE,TRUE,,,B,HTML
How can you make a numbered list?,<ol>,<list>,<dl>,<ul>,A,HTML
How can you make a bulleted list?,<list>,<ol>,<dl>,<ul>,D,HTML
What is the correct HTML for making a checkbox?,<check>,"<input type=""checkbox"">",<checkbox>,"<input type=""check"">",B,HTML
What is the correct HTML for making a text input field?,<textfield>,"<input type=""textfield"">","<input type=""text"">","<textinput type=""text"">",C,HTML
What is the correct HTML for making a drop-down list?,"<input type=""list"">",<list>,"<input type=""dropdown"">",<select>,D,HTML
What is the correct HTML for making a text area?,"<input type=""textarea"">","<input type=""textbox"">",<textarea>,,C,HTML
What is the correct HTML for inserting an image?,"<image src=""image.gif"" alt=""MyImage"">","<img src=""image.gif"" alt=""MyImage"">","<img href=""image.gif"" alt=""MyImage"">","<img alt=""MyImage"">image.gif</img>",B,HTML
What is the correct HTML for inserting a background image?,"<background img=""background.gif"">","<body bg=""background.gif"">","<body style=""background-image:url(background.gif)"">",,C,HTML
An <iframe> is used to display a web page within a web page.,There is no such thing as an <iframe>,TRUE,FALSE,,B,HTML
HTML comments start with <!-- and end with -->,TRUE,FALSE,,,A,HTML
Block elements are normally displayed without starting a new line.,TRUE,FALSE,,,B,HTML
Which HTML element defines the title of a document?,<meta>,<title>,<head>,,B,HTML
"Which HTML attribute specifies an alternate text for an image, if the image cannot be displayed?",title,src,longdesc,alt ,D,HTML
Which doctype is correct for HTML5?,<!DOCTYPE html>,<!DOCTYPE HTML5>,,,A,HTML
Which HTML element is used to specify a footer for a document or section?,<footer>,<section>,<bottom>,,A,HTML
"In HTML, you can embed SVG elements directly into an HTML page.",FALSE,TRUE,,,B,HTML
What is the correct HTML element for playing video files?,<media>,<video>,<movie>,,B,HTML
What is the correct HTML element for playing audio files?,<sound>,<mp3>,<audio>,,C,HTML
"The HTML global attribute, ""contenteditable"" is used to:",Update content from the server,Specifies a context menu for an element. The menu appears when a user right-clicks on the element,Return the position of the first found occurrence of content inside a string,Specify whether the content of an element should be editable or not  ,D,HTML
"In HTML, onblur and onfocus are:",Event attributes,HTML elements,Style attributes,,A,HTML
